"Column","Field","Description","Storage.Type","Variable.Codes","Units","Populated.by","n_Panama","Min_Panama","Max_Panama","n_Pasoh","Min_Pasoh","Max_Pasoh","n_SCBI","Min_SCBI","Max_SCBI"
"1 / A","sp","","character","","","",51,"-","-",70,"-","-",12,"-","-"
"10 / J","mean_LT_mm","","double","","","",152,"0.07","2.48",191,"0.04","0.32",34,"0.07","0.24"
"11 / K","LD_g_per_cm3","","double","","","",152,"0.02","1.45",191,"0.23","0.95",34,"0.22","0.6"
"12 / L","sum_fresh_mass_leaf_blade_g","","double","","","",152,"0.49","154.31",191,"0.27","187.66",34,"0.69","22.33"
"13 / M","WMA_g_per_m2","","double","","","",152,"25.42","1208.57",191,"46.72","313.28",34,"36.99","131.16"
"14 / N","mean_SPAD","","double","","","",152,"-10.1","60.61",191,"29.9","58.02",34,"21.45","40.96"
"15 / O","Chl_m2_per_g","","double","","","",152,"-0.04","1.66",191,"0.28","1.83",34,"0.28","1.05"
"16 / P","mean_TLP_Mpa","","double","","","",146,"-2.42","-1.14",190,"-2.59","-0.86",31,"-2.95","-1.73"
"17 / Q","WD_g_per_cm3","","double","","","",151,"0.17","1.72",195,"0.21","0.98",34,"0.38","1.21"
"2 / B","idividual","","integer","","","",152,"1","3",197,"1","3",34,"1","3"
"3 / C","ind_ID","","character","","","",152,"-","-",197,"-","-",34,"-","-"
"4 / D","leaf_area_dry_cm2","","double","","","",151,"18.08","3872.72",197,"19.7","6099.38",34,"86.7","1543.42"
"5 / E","leaf_area_fresh_cm2","","double","","","",152,"22.92","4081.54",197,"29.04","7739.51",34,"99.88","1849.72"
"6 / F","LA_cm2","","double","","","",152,"7.64","1360.51",197,"9.68","2579.84",34,"33.29","616.57"
"7 / G","PLA_dry_percent","","double","","","",151,"-262.49","75.68",197,"0.27","46.85",34,"8","30.76"
"8 / H","sum_dry_mass_leaf_blade_g","","double","","","",152,"0.14","41.34",191,"0.12","65.35",34,"0.29","11.48"
"9 / I","LMA_g_per_m2","","double","","","",152,"24.97","235.78",191,"25.02","149.14",34,"26.82","118.14"
