slice,estimated_proportion_of_leaf_tissue,area_cm2,suspicious_measurement
Caco1_a.jpg,0.326106784,209.2339022,0
Caco1_b.jpg,0.386680274,248.0985573,0
Caco1_c.jpg,0.469953989,301.5279404,0
caco2_l_a.jpg,0.474122697,304.2026318,0
caco2_l_b.jpg,0.221013291,141.8046955,0
caco2_m_a.jpg,0.417381531,267.7968403,0
caco2_m_b.jpg,0.214946817,137.9123753,0
caco2_s.jpg,0.314187153,201.5861285,0
Caco3_a1.jpg,0.514096427,329.8502415,0
Caco3_a2.jpg,0.373017055,239.3320771,0
Caco3_b1.jpg,0.42837363,274.8494986,0
Caco3_b2.jpg,0.210606851,135.1278025,0
Caco3_c1.jpg,0.442273709,283.7679509,0
Caco3_c2.jpg,0.32132,206.1626456,0
Cagl1_a.jpg,0.165499727,106.186548,0
Cagl1_b.jpg,0.255144424,163.703627,0
Cagl1_c.jpg,0.385683431,247.458971,0
cagl2_l.jpg,0.449687536,288.5247484,0
cagl2_m.jpg,0.283682133,182.0137529,0
cagl2_s.jpg,0.263035133,168.7663976,0
cagl3_l_a.jpg,0.434128655,278.5419898,0
cagl3_l_b.jpg,0.301326364,193.3344966,0
cagl3_m.jpg,0.424402662,272.3016796,0
cagl3_s.jpg,0.360298449,231.1716715,0
Caovl1_a.jpg,0.180581221,115.8630095,0
Caovl1_b.jpg,0.356788537,228.9196712,0
Caovl1_c.jpg,0.440970939,282.9320785,0
Caovl2_a.jpg,0.286978988,184.1290536,0
Caovl2_b1.jpg,0.414015482,265.6371438,0
Caovl2_b2.jpg,0.303755794,194.8932469,0
Caovl2_c1.jpg,0.546727879,350.78696,0
Caovl2_c2.jpg,0.432023083,277.1910304,0
Caovl2_c3.jpg,0.272789229,175.0247389,0
Caovl3_a.jpg,0.484832045,311.0738741,0
Caovl3_b.jpg,0.552654689,354.5896701,0
Caovl3_c1.jpg,0.409088906,262.4761954,0
Caovl3_c2.jpg,0.40351133,258.897558,0
Caovl3_c3.jpg,0.198497276,127.3581586,0
Cato1_abc.jpg,0.21624719,138.7467099,1
Cato2_abc.jpg,0.25980314,166.6927138,1
Cato3_a.jpg,0.513845611,329.6893151,0
Cato3_b1.jpg,0.436773347,280.2388547,0
Cato3_b2.jpg,0.416968715,267.5319725,0
Cato3_c1.jpg,0.536464461,344.201832,0
Cato3_c2.jpg,0.501490179,321.7619262,0
Fagr1_abc.jpg,0.155056606,99.48612046,0
Fagr2_abc.jpg,0.216392987,138.8402548,0
Fagr3_abc.jpg,0.193116356,123.905698,0
fram1_l.jpg,0.353493978,226.8058436,0
fram1_m.jpg,0.243633926,156.3183581,0
fram1_s.jpg,0.240279085,154.1658529,0
fram2_l.jpg,0.315629295,202.5114234,0
fram2_m.jpg,0.290506916,186.3926131,0
fram2_s.jpg,0.352657806,226.2693463,0
fram3_l_a.jpg,0.517657772,332.1352419,0
fram3_l_b.jpg,0.209665735,134.5239716,0
fram3_m.jpg,0.465185481,298.4684101,0
fram3_s.jpg,0.43828243,281.2070997,0
Juni1_a.jpg,0.07150147,45.87617389,0
Juni1_b1.jpg,0.30422709,195.1956363,0
Juni1_b2.jpg,0.130491539,83.72488754,0
Juni1_c.jpg,0.409729733,262.887358,0
Juni2_a.jpg,0.374392655,240.2146776,0
Juni2_b1.jpg,0.421919025,270.7081492,0
Juni2_b2.jpg,0.318101522,204.0976329,0
Juni2_c1.jpg,0.480858235,308.5242309,0
Juni2_c2.jpg,0.447318186,287.0045462,0
Juni3_a.jpg,0.206448288,132.4596204,0
Juni3_b.jpg,0.253055799,162.3635415,0
Juni3_c.jpg,0.445731374,285.9864293,0
Litu1_a.jpg,0.134061865,86.01565059,1
Litu1_abc.jpg,0.300524529,192.8200302,0
Litu2_abc.jpg,0.415164903,266.374626,0
Litu3_abc.jpg,0.276515524,177.4155733,0
Qual1_abc.jpg,0.203339086,130.4647204,0
Qual2_abc.jpg,0.251994534,161.6826214,0
Qual3_abc.jpg,0.235994182,151.4166092,0
qupr1_a.jpg,0.049036202,31.46219732,0
qupr1_b.jpg,0.042969729,27.56987716,0
qupr1_c.jpg,0.043118682,27.66544752,0
qupr2_a.jpg,0.164055465,105.2598926,0
qupr2_b.jpg,0.07190058,46.13224777,0
qupr2_c.jpg,0.054767531,35.13948417,0
Qupr3_a.jpg,0.028531385,18.30606828,0
Qupr3_b.jpg,0.052746501,33.84276814,0
Qupr3_c.jpg,0.122754694,78.76083791,0
Quru1_ab.jpg,0.273484306,175.4707089,0
Quru1_c.jpg,0.231501605,148.5341201,0
Quru2_abc.jpg,0.357270006,229.228587,0
Quru3_ab.jpg,0.27371826,175.6208159,0
Quru3_c.jpg,0.257995938,165.5331918,0
Quve1_a.jpg,0.053156124,34.10558663,0
Quve1_b.jpg,0.160423028,102.929279,0
Quve1_c.jpg,0.335704178,215.3917016,0
Quve2_a.jpg,0.041537743,26.65109846,0
Quve2_b.jpg,0.208128804,133.5378593,0
Quve2_c.jpg,0.369184885,236.8733123,0
Quve3_a.jpg,0.087046453,55.85001586,0
Quve3_b.jpg,0.173209341,111.1331257,0
Quve3_c.jpg,0.296658023,190.3392346,0
