"","Species","mortrate2008-2013","ci.lo2008-2013","ci.hi2008-2013","ninit2008-2013","ndead2008-2013","mortrate2013-2014","ci.lo2013-2014","ci.hi2013-2014","ninit2013-2014","ndead2013-2014","mortrate2014-2015","ci.lo2014-2015","ci.hi2014-2015","ninit2014-2015","ndead2014-2015","mortrate2015-2016","ci.lo2015-2016","ci.hi2015-2016","ninit2015-2016","ndead2015-2016","agb2008-2013","agb2013-2014","agb2014-2015","agb2015-2016"
"1","acru",1.65253002657627,0.983698243528996,2.74114844143426,186,14,1.65178032141852,0.45157912024234,4.17503838717552,190,4,1.35261233406876,0.164344868354094,4.80048455225334,186,2,0.544633970706443,0.0137880676939539,2.99699669923549,184,1,0.0135089448549168,0.0106198003211429,0.0146774277818546,0.000897411723032563
"2","caca",3.0861218864888,2.17580383659415,4.33182907945051,231,31,1.44026255189171,0.469009449411528,3.3289564627073,255,5,0,NA,NA,250,0,2.77662879326604,1.3513473401226,5.6191876684766,250,7,0.00588879234025252,0.00469644761771547,NA,0.0056742928794935
"3","caco",0.596073601905356,0.272856989693393,1.28830846691395,218,6,1.04460599792484,0.215850356580294,3.0222827294619,231,3,1.10452137964765,0.134120707161889,3.93273491498736,228,2,1.55686836328666,0.81965984524125,2.92235875507941,225,9,0.0113184197347427,0.00784007828278095,0.042289706656301,0.128244421716069
"4","cagl",0.809655327846337,0.563859148023726,1.15905770164161,769,29,0.835724290364714,0.424002276551905,1.63987810456201,773,8,0.993465339186916,0.456184134064241,2.15129722275264,765,6,0.960444209727174,0.506019014644576,1.81464882725024,759,9,0.0357585955648244,0.0710125053702069,0.026921678917281,0.0290710864544938
"5","caovl",0.710251463018285,0.385549916607841,1.29833129168627,302,10,0.261498467170906,0.00661811109382571,1.44829863481869,304,1,0.419042942142389,0.0106134229701293,2.31251229642679,303,1,0,NA,NA,302,0,0.0199411318024037,0.00807755428178551,0.00362706827978516,NA
"6","cato",0.859385921633904,0.582192036853835,1.26381165914349,626,25,0.874509069371965,0.424154565813484,1.79326548296508,630,7,0.817892258981412,0.223334326534408,2.08079377057615,623,4,1.61197035341532,0.877901794389224,2.94160415811398,619,10,0.0488473928133981,0.0599778053072589,0.0201278523729756,0.0578724607110748
"7","ceca",6.52090409376042,4.73721099995024,8.81219441542479,136,37,5.98148651171994,3.1757855394876,10.961356142812,128,9,5.2053520271758,1.71337119089682,11.7298298574025,119,5,6.21565930069296,3.0434175715676,12.2781486326778,114,7,0.00779886660630764,0.00488802600138445,0.00469885717208161,0.00558155002162385
"8","fagr",0.15533695243094,0.0187910375985645,0.559997267236934,279,2,0,NA,NA,308,0,0,NA,NA,308,0,0,NA,NA,308,0,0.0206638366222492,NA,NA,NA
"9","fram",1.93802170154803,1.41293132107391,2.64374852663884,435,38,2.54188838308349,1.4909049037803,4.29769580791546,415,13,1.86547219726232,0.858026132389,4.01266234817931,402,6,2.07773386050004,1.13207006010465,3.7799226424194,396,10,0.0972125104064226,0.212581115478696,0.0241126208240513,0.120262991639375
"10","juni",1.53107008852587,0.804145258421962,2.86292892008199,130,9,1.31047178125995,0.15896171704467,4.65360438595579,121,2,1.04739081798964,0.0265418018947305,5.69781146743007,119,1,0,NA,NA,118,0,0.0158115393692868,0.00659363802030614,0.0407968186465593,NA
"11","litu",0.716186016631826,0.572446850738029,0.895094923191375,2278,76,0.615167480874923,0.384415068142896,0.982899665304338,2220,17,0.74519446024135,0.43605089839428,1.27100157959297,2203,13,0.503183562093668,0.338312993273271,0.747443349519494,2190,24,0.0639965456434678,0.0571528329636425,0.0330215284301492,0.0504656291164155
"12","nysy",0.848365789568095,0.549187525568973,1.3044599266169,505,20,1.14338773909396,0.554800952178403,2.33998255161504,495,7,0.517716579640159,0.0627765028161198,1.85756353244567,488,2,1.45021403788091,0.704227091754372,2.9629240692427,486,7,0.0196276271665205,0.013398931195392,0.00760205849367755,0.0258395063442174
"13","qual",1.49054098771361,1.03815436676999,2.12809693720781,421,29,0.413016892784668,0.0500458830406725,1.48393387685325,396,2,1.28173348180539,0.350422157407226,3.24903634401871,394,4,1.28615544652669,0.418896229506394,2.97578788912116,390,5,0.218812784408685,0.00876180652580941,0.208766527417837,0.0869986043565319
"14","qupr",2.63052735871857,1.85432962524325,3.69794183287324,264,31,1.69994084971362,0.553973556573961,3.92233740786351,236,5,2.74011995605767,0.896103424104799,6.27825288127567,231,5,1.73748558974185,0.843069757502968,3.53386395756415,226,7,0.12581369816045,0.0146775284138379,0.141518585192231,0.0102017321874183
"15","quru",2.86184795694396,2.19054545765703,3.71721890750174,414,53,1.53456496662797,0.745044302536702,3.13129530111316,370,7,1.74249423464846,0.568355121073782,4.01929716904781,363,5,0.960801531281208,0.440744089534095,2.07696482180735,358,6,0.310959403715504,0.0609970251239428,0.263000878726039,0.13996273746328
"16","quve",2.71289151012312,1.9940794009356,3.66394352578995,328,40,2.23640504451329,1.13698779738848,4.34677122573527,290,8,2.24050810188715,0.731748442480806,5.15079223998453,282,5,2.89972974672524,1.47652888247625,5.61668002095399,277,8,0.243244763132055,0.250718196146939,0.412899424223279,0.375985451201933
"17","tiam",1.26217197211637,0.638475247451575,2.45345824098051,139,8,1.70346304384211,0.352328880353203,4.89743226982048,131,3,0,NA,NA,128,0,0.768785201124611,0.0194608413129571,4.2088795303733,128,1,0.0148634946369592,0.0245764077933063,NA,0.0227747441676975
"18","ulru",18.6387628954852,16.208858738778,21.2136503631969,299,185,8.95794304562674,5.40603580169432,14.4565785165601,133,14,11.3597560438287,6.47254603120551,19.2451513604216,119,11,10.3643774156614,5.88721795555195,17.6143837031037,108,11,0.116190485163864,0.0370840189624024,0.0274042920502593,0.0195503258218092
