"","Species","mortrate2008-2013","ci.lo2008-2013","ci.hi2008-2013","ninit2008-2013","ndead2008-2013","mortrate2013-2014","ci.lo2013-2014","ci.hi2013-2014","ninit2013-2014","ndead2013-2014","mortrate2014-2015","ci.lo2014-2015","ci.hi2014-2015","ninit2014-2015","ndead2014-2015","mortrate2015-2016","ci.lo2015-2016","ci.hi2015-2016","ninit2015-2016","ndead2015-2016","mortrate2016-2017","ci.lo2016-2017","ci.hi2016-2017","ninit2016-2017","ndead2016-2017","agb2008-2013","agb2013-2014","agb2014-2015","agb2015-2016","agb2016-2017"
"1","acru",1.65253002657627,0.983698243528996,2.74114844143426,186,14,1.65178032141852,0.45157912024234,4.17503838717552,190,4,1.35261233406876,0.164344868354094,4.80048455225334,186,2,0.544633970706443,0.0137880676939539,2.99699669923549,184,1,0.531922715128352,0.013465228066134,2.9278999660267,183,1,0.0135089448549168,0.0106198003211429,0.0146774277818546,0.000897411723032563,0.000723367726239361
"2","caca",3.0861218864888,2.17580383659415,4.33182907945051,231,31,1.44544299685001,0.470701014901898,3.34081488581575,254,5,0,NA,NA,249,0,2.78801275809915,1.35691436956425,5.64177023511604,249,7,4.39847128379474,2.47327225959865,7.70195837273441,242,11,0.00588879234025252,0.00469644761771547,NA,0.00567429287335361,0.0111023560565675
"3","caco",0.596073601905356,0.272856989693393,1.28830846691395,218,6,1.05400609909515,0.217796744524656,3.04920380512583,229,3,1.11410200021087,0.135287169379195,3.96635062643059,226,2,4.90690582948439,2.60452332205956,9.07178969883213,224,9,4.64328748022826,2.67424475883944,7.93223480967441,215,12,0.0113184197347427,0.00784007828278095,0.042289706656301,0.128244421724951,0.183528746371834
"4","cagl",0.809655327846337,0.563859148023726,1.15905770164161,769,29,0.837893106371457,0.425103974908625,1.6441094876444,771,8,0.996057153890362,0.45737653819643,2.15686698353318,763,6,1.22420369151215,0.645388576761197,2.31023023280716,757,9,1.77316429759868,1.05907275288671,2.95396791896291,748,14,0.0357585955648244,0.0710125053702069,0.026921678917281,0.0290710864552682,0.0929468401021992
"5","caovl",0.710251463018285,0.385549916607841,1.29833129168627,302,10,0.261498467170906,0.00661811109382571,1.44829863481869,304,1,0.419042942142389,0.0106134229701293,2.31251229642679,303,1,0,NA,NA,302,0,0.963964958328356,0.199225747542908,2.79111896621194,302,3,0.0199411318024037,0.00807755428178551,0.00362706827978516,NA,0.00943302334800379
"6","cato",0.859385921633904,0.582192036853835,1.26381165914349,626,25,0.875878305071986,0.424819501775664,1.79605435678286,629,7,0.819231424746414,0.223700806362703,2.08417890751543,622,4,1.6144860300059,0.879275399992419,2.94615420400243,618,10,1.91399453779847,1.09817475683887,3.31524616029958,608,12,0.0488473928133981,0.0599778053072589,0.0201278523729756,0.0578724606900287,0.0652347832704697
"7","ceca",6.52090409376042,4.73721099995024,8.81219441542479,136,37,5.98148651171994,3.1757855394876,10.961356142812,128,9,5.2053520271758,1.71337119089682,11.7298298574025,119,5,6.21565930069296,3.0434175715676,12.2781486326778,114,7,6.37076951306866,3.11964767943281,12.5668481105264,108,7,0.00779886660630764,0.00488802600138445,0.00469885717208161,0.00558155001103783,0.00687729821873606
"8","fagr",0.15533695243094,0.0187910375985645,0.559997267236934,279,2,0,NA,NA,308,0,0,NA,NA,308,0,0,NA,NA,308,0,0,NA,NA,308,0,0.0206638366222492,NA,NA,NA,NA
"9","fram",1.93802170154803,1.41293132107391,2.64374852663884,435,38,2.56282812755703,1.50323406062935,4.33268551125833,412,13,1.87916696712065,0.864347685719868,4.04169516193329,399,6,2.63446955179413,1.43725552211467,4.7813846717994,393,10,9.45005675035391,6.96183880941912,12.7039731244144,388,38,0.0972125104064226,0.212581115478696,0.0241126208240513,0.120262991653694,1.03570807968816
"10","juni",1.53107008852587,0.804145258421962,2.86292892008199,130,9,1.33246386647081,0.161633747210366,4.73034367749746,119,2,1.06482814461734,0.0269840410289435,5.79036842518141,117,1,0,NA,NA,116,0,0,NA,NA,116,0,0.0158115393692868,0.00659363802030614,0.0407968186465593,NA,NA
"11","litu",0.716186016631826,0.572446850738029,0.895094923191375,2278,76,0.615737799864735,0.384771755139879,0.983808746835979,2218,17,0.745878061412775,0.436451403085281,1.27216379640651,2201,13,1.2741085618362,0.857731801703365,1.88902677043226,2188,24,0.725759608063115,0.459553082087083,1.14427035503855,2164,18,0.0639965456434678,0.0571528329636425,0.0330215284301492,0.0504656291097304,0.0501746141487994
"12","nysy",0.848365789568095,0.549187525568973,1.3044599266169,505,20,1.14833612253793,0.557206296483304,2.35002318585196,493,7,0.519857160526038,0.0630363907743181,1.86519174732149,486,2,1.45622710989458,0.707154310879776,2.97508190039861,484,7,1.01416039065982,0.330080723081561,2.3507432589175,477,5,0.0196276271665205,0.013398931195392,0.00760205849367755,0.0258395063517014,0.0486132270371248
"13","qual",1.49054098771361,1.03815436676999,2.12809693720781,421,29,0.414075056461494,0.0501741752022333,1.48771521390871,395,2,1.28496893099443,0.351309749407247,3.25715530255433,393,4,1.28937054282632,0.419946573796792,2.98316253879453,389,5,1.00762024141426,0.275193999828438,2.559688225618,384,4,0.218812784408685,0.00876180652580941,0.208766527417837,0.0869986043511388,0.0094985458012552
"14","qupr",2.63052735871857,1.85432962524325,3.69794183287324,264,31,1.69994084971362,0.553973556573961,3.92233740786351,236,5,2.74011995605767,0.896103424104799,6.27825288127567,231,5,3.39789400734108,1.65597169396328,6.85006271242202,226,7,3.68824733885696,1.95168398737036,6.85585384932053,219,9,0.12581369816045,0.0146775284138379,0.141518585192231,0.0102017321788655,0.327597680129961
"15","quru",2.86184795694396,2.19054545765703,3.71721890750174,414,53,1.54916221072419,0.752149390571433,3.16074715669528,367,7,1.75667616809341,0.573002024531122,4.05162444642103,360,5,1.8517109764459,0.851491788736614,3.98170682067994,355,6,2.11639047691424,1.07606700147072,4.1188821868085,349,8,0.310959403715504,0.0609970251239428,0.263000878726039,0.139396575837262,0.27568863059119
"16","quve",2.71289151012312,1.9940794009356,3.66394352578995,328,40,2.24510391210658,1.14142613418042,4.36342926516139,289,8,1.79936017923357,0.492623479222298,4.54269601989689,281,4,2.89972974672524,1.47652888247625,5.61668002095399,277,8,3.63656910218071,1.9869822946569,6.56293335018746,269,10,0.243244763132055,0.250718196146939,0.322215408652968,0.375985451213418,0.332197906321808
"17","tiam",1.26217197211637,0.638475247451575,2.45345824098051,139,8,1.70346304384211,0.352328880353203,4.89743226982048,131,3,0,NA,NA,128,0,0.768785201124611,0.0194608413129571,4.2088795303733,128,1,0,NA,NA,127,0,0.0148634946369592,0.0245764077933063,NA,0.0227747441673749,NA
"18","ulru",18.6387628954852,16.208858738778,21.2136503631969,299,185,9.03291264128248,5.45191164227636,14.5728565002156,132,14,11.4524458532444,6.52646915538178,19.3933000928044,118,11,10.4625383284471,5.94397707553692,17.7724233594206,107,11,NA,NA,NA,NA,NA,0.116190485163864,0.0370840189624024,0.0274042920502593,0.0195503258298011,NA
